武将,主公胜率,忠臣胜率,反贼胜率,内奸胜率,总场次,加权胜率
朱儁,,,,,0,
许劭,53%,25%,73%,8%,319,51%
张让,,30%,100%,0%,38,66%
何进,,,,,0,
赵忠,,,0%,,1,
何太后,,0%,75%,33%,8,48%
丁原,0%,,60%,0%,9,40%
王荣,100%,0%,50%,0%,9,38%
麹义,0%,0%,0%,0%,12,0%
韩馥,,,,,0,
陶谦,,0%,67%,,7,44%
曹嵩,13%,33%,69%,0%,72,44%
张邈,,,,0%,1,
丘力居,,,,,0,
董承,,100%,100%,0%,6,86%
胡车儿,,,100%,,1,
曹安民,,,50%,,2,
